amazon.jackson19                                 # Jackson19
amazon.speech.sim                                # Alexa Speech
com.amazon.aca                                   # ACA Application
com.amazon.advertisingidsettings                 # Advertising ID
com.amazon.ags.app                               # Amazon GameCircle
com.amazon.alexa.multimodal.gemini               # Alexa Cards
com.amazon.alexa.youtube.app                     # Alexa YouTube Player
com.amazon.alta.h2clientservice                  # H2Application
com.amazon.application.compatibility.enforcer    # Application Compatibility Enforcer
com.amazon.appverification                       # Amazon App Verification
com.amazon.avod                                  # Prime Video
com.amazon.bioscope                              # Amazon VideoStore
com.amazon.cardinal                              # Alexa Video Player
com.amazon.client.metrics                        # Amazon Client Metrics
com.amazon.client.metrics.api                    # Amazon Client Metrics API
com.amazon.cloud9.contentservice                 # Silk Browser Content Service
com.amazon.cloud9.kids                           # Kids Silk Browser
com.amazon.cloud9.systembrowserprovider          # Silk Browser Provider
com.amazon.comms.kids                            # Alexa Communication
com.amazon.communication.discovery               # Amazon Communication Discovery
com.amazon.connectivitydiag                      # Connectivity Diagnostics
com.amazon.csapp                                 # Help App
com.amazon.dcp                                   # Amazon Device Middleware Debugging Tool
com.amazon.dcp.contracts.framework.library       # DCP Contracts Framework
com.amazon.dcp.contracts.library                 # DCP Platform Contracts
com.amazon.dcpms.fos.service                     # DCPMSFOSService
com.amazon.dee.app                               # Alexa
com.amazon.device.messaging                      # Amazon Device Messaging (ADM)
com.amazon.device.metrics                        # Amazon Device Metrics
com.amazon.device.sale.service                   # Amazon Sale Service
com.amazon.device.sync                           # Amazon Sync Service
com.amazon.device.sync.sdk.internal              # Amazon Sync SDK
com.amazon.diode                                 # Diode Apk
com.amazon.dp.contacts                           # Amazon Contacts Sync Adapter
com.amazon.dp.fbcontacts                         # Facebook Sync Adapter
com.amazon.dp.logger                             # Amazon DP Logger
com.amazon.dpcclient                             # Amazon DCPCClient Application
com.amazon.fireos.cirruscloud                    # Cirrus Cloud
com.amazon.firespotlight                         # Amazon Appstore Spotlight
com.amazon.geo.client.maps                       # Amazon Maps App
com.amazon.geo.mapsv2                            # Map API v2
com.amazon.geo.mapsv3.resources                  # Map API v3 Resources
com.amazon.geo.mapsv3.services                   # Map API v3 Services
com.amazon.hybridadidservice                     # Hybrid AD ID Service
com.amazon.identity.auth.device.authorization    # Mobile Authentication Platform
com.amazon.imdb.tv.mobile.app                    # Freevee (IMDb)
com.amazon.imp                                   # Identity Mobile Platform
com.amazon.iris                                  # News
com.amazon.kindle                                # Kindle
com.amazon.kindle.kso                            # Kindle Store
com.amazon.kindle.otter.oobe                     # Device Setup
com.amazon.kindle.personal_video                 # My Videos
com.amazon.kindle.rdmdeviceadmin                 # Remote Device Management Application
com.amazon.kindle.unifiedSearch                  # Unified Search
com.amazon.kor.demo                              # Retail Demo
com.amazon.legalsettings                         # Legal Notices
com.amazon.logan                                 # Voice View
com.amazon.media.session.monitor                 # Media Session Monitor
com.amazon.minerva.client.api                    # Amazon Minerva Client API
com.amazon.mp3                                   # Amazon Music
com.amazon.nimh                                  # Arcus Android Client
com.amazon.ods.kindleconnect                     # Mayday Screen Sharing
com.amazon.photos                                # Amazon Photos
com.amazon.photos.importer                       # Amazon Photos Importer
com.amazon.platform                              # Amazon Metrics Service Application
com.amazon.pm                                    # Parental Monitoring Service
com.amazon.providers.contentsupport              # Content Support Manager
com.amazon.readynowcore                          # On Deck
com.amazon.recess                                # Amazon Recess
com.amazon.securitysyncclient                    # Security Sync Client
com.amazon.shpm                                  # Ship Mode
com.amazon.smartgenie                            # Alexa Device Dashboard
com.amazon.sync.provider.ipc                     # Sync Provider Executor
com.amazon.sync.service                          # Amazon Sync Service
com.amazon.tahoe                                 # Amazon Kids
com.amazon.tcomm                                 # Amazon Communication Services
com.amazon.tcomm.client                          # Amazon Communication Services Client Library
com.amazon.tcomm.jackson                         # Amazon Communication Service (Jackson19)
com.amazon.tv.launcher                           # Amazon VideoStore
com.amazon.tv.ottssocompanionapp                 # OttSsoCompanionApp
com.amazon.venezia                               # Amazon Appstore
com.amazon.wallpaper                             # Amazon Wallpaper
com.amazon.weather                               # Weather
com.amazon.webapp                                # Kindle Store
com.amazon.whisperlink.core.android              # Whisperplay Daemon
com.amazon.whisperplay.contracts                 # Whisperlink SDK
com.amazon.whisperplay.service.install           # Whisperlink Installer
com.amazon.windowshop                            # Amazon App
com.amazon.wirelessmetrics.service               # Amazon Wireless Metrics Service
com.amazon.zico                                  # Documents
com.android.bookmarkprovider                     # Bookmarks Provider
com.android.calendar                             # Calendar
com.android.calllogbackup                        # Call Logs Backup
com.android.carrierconfig                        # Carrier Network Configuration
com.android.contacts                             # Contacts
com.android.dreams.basic                         # Screensaver
com.android.email                                # AOSP Mail
com.android.music                                # AOSP Music Player
com.android.protips                              # Home Screen Tips
com.android.providers.calendar                   # Calendar Storage
com.android.providers.contacts                   # Contacts Storage
com.android.providers.downloads.ui               # Downloads App
com.android.providers.partnerbookmarks           # Provider Bookmarks
com.android.quicksearchbox                       # Search
com.audible.application.kindle                   # Audible
com.fireos.arcus.proxy                           # Arcus Proxy
com.fireos.usagestats.proxy                      # Amazon Usage Stats Map Proxy
com.goodreads.kindle                             # Goodreads
com.here.odnp.service                            # HERE Positioning
com.kingsoft.office.amz                          # WPS Office for Amazon
